1 	1322 	1.66 	2,198 	320 	1,220 	800 	13 	9 - 1 - 2 	12
2 	245 	1.58 	2,340 	517 	1,360 	700 	15 	9 - 2 - 1 	12
3 	4970 	1.50 	2,552 	583 	1,220 	950 	7 	9 - 3 - 0 	12
4 	894 	1.50 	2,429 	523 	1,240 	950 	9 	9 - 3 - 0 	12
5 	6075 	1.50 	2,336 	538 	1,160 	900 	26 	9 - 3 - 0 	12
6 	4391 	1.41 	2,380 	573 	1,380 	750 	5 	8 - 3 - 1 	12
7 	4392 	1.41 	2,000 	217 	1,180 	500 	5 	8 - 3 - 1 	12
8 	3602 	1.33 	2,238 	322 	1,140 	850 	3 	7 - 3 - 2 	12
9 	5072 	1.33 	2,017 	381 	1,240 	550 	2 	8 - 3 - 0 	12
10 	857 	1.33 	1,976 	570 	1,220 	350 	1 	8 - 4 - 0 	12
11 	1596 	1.25 	2,297 	452 	1,260 	800 	2 	7 - 4 - 1 	12
12 	2586 	1.25 	1,981 	350 	1,100 	700 	11 	7 - 4 - 1 	12
13 	6088 	1.16 	1,817 	322 	1,060 	500 	2 	6 - 4 - 2 	12
14 	5989 	1.16 	1,770 	342 	1,140 	400 	15 	7 - 5 - 0 	12
15 	6637 	1.08 	2,043 	402 	1,120 	750 	3 	6 - 5 - 1 	12
16 	6558 	1.00 	2,217 	392 	1,200 	800 	2 	6 - 6 - 0 	12
17 	5702 	1.00 	1,901 	351 	1,140 	500 	6 	6 - 6 - 0 	12
18 	5213 	1.00 	1,865 	353 	1,100 	550 	5 	6 - 6 - 0 	12
19 	5175 	1.00 	1,852 	342 	1,100 	550 	12 	6 - 6 - 0 	12
20 	3767 	0.91 	2,268 	447 	1,260 	800 	3 	4 - 5 - 3 	12
21 	6569 	0.91 	1,972 	410 	1,080 	600 	2 	5 - 6 - 1 	12
22 	4375 	0.91 	1,780 	350 	1,180 	400 	0 	5 - 6 - 1 	12
23 	6113 	0.91 	1,547 	287 	960 	400 	7 	5 - 6 - 1 	12
24 	5547 	0.83 	1,975 	285 	1,080 	600 	0 	5 - 7 - 0 	12
25 	5486 	0.83 	1,679 	126 	960 	550 	9 	4 - 6 - 2 	12
26 	5878 	0.83 	1,642 	335 	1,180 	250 	2 	4 - 6 - 2 	12
27 	4827 	0.83 	1,587 	347 	1,020 	350 	2 	4 - 6 - 2 	12
28 	5714 	0.75 	1,789 	306 	1,100 	500 	4 	4 - 7 - 1 	12
29 	904 	0.75 	1,622 	395 	880 	550 	7 	4 - 7 - 1 	12
30 	4715 	0.75 	1,542 	226 	1,020 	300 	7 	4 - 7 - 1 	12
31 	6557 	0.66 	1,818 	402 	1,040 	550 	8 	4 - 8 - 0 	12
32 	6581 	0.66 	1,715 	327 	1,020 	400 	5 	4 - 8 - 0 	12
33 	4835 	0.66 	1,543 	187 	940 	450 	3 	4 - 7 - 0 	12
34 	6345 	0.58 	1,852 	332 	1,020 	550 	2 	3 - 8 - 1 	12
35 	5706 	0.58 	1,650 	287 	1,060 	450 	5 	3 - 8 - 1 	12
36 	6079 	0.58 	1,184 	210 	700 	300 	4 	3 - 7 - 1 	12
37 	4988 	0.50 	1,582 	255 	960 	400 	2 	3 - 9 - 0 	12
38 	3617 	0.50 	1,458 	277 	920 	350 	3 	3 - 9 - 0 	12
39 	6112 	0.33 	1,388 	187 	940 	250 	3 	2 - 10 - 0 	12
